,alcoholic,cocktail_name,glass,ingredients,ingredients_and_quantities,instructions,cocktail_picture,popular_month_name,visitors,popular_month_no,popular_season_name,alcohol_type_includes,liqueurs_includes
118,Alcoholic,Empellón Cocina's Fat-Washed Mezcal,Beer Glass,"Coffee Liqueur, Chocolate Liqueur, Mezcal, ","Coffee liqueur - 1/2 oz, Chocolate liqueur - 3/4 oz, Mezcal - 2 oz,","To ensure that your pork fat is just as delicious as theirs, heres their adobo marinade and what to do with it (youll also need a rack of ribs):



4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.



Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.



Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.



If youre having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.



Once youve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you dont have a chinoise, try a fine mesh strainer, or if you dont have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.



The mezcal is now ready for drinking, straight-up or in a cocktail. 



Habanero tincture



Slice habaneros and add 2 ounces Ilegal Joven mezcal.

Allow to sit overnight or until desired level of heat is achieved.

Cocktail



Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.

Strain into chilled coupe.

Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.

Garnish with 5 drops habanero tincture.",https://veganyackattack.com/wp-content/uploads/2020/12/mochamezcalcocktail-5-720x720.jpg,,,,,['tequila'],
119,Alcoholic,Frosé,Cocktail glass,"Lemon Juice, Strawberries, Sugar, Rose, ","Lemon Juice - 2-3 oz, Strawberries - 8 oz, Sugar - 1/2 cup, Rose - 750 ml,","Step 1

Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.



Step 2

Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.



Step 3

Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 2535 minutes.



Step 4

Blend again until frosé is slushy. Divide among glasses.



Step 5

Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,,,,,['wine'],
120,Non alcoholic,Frappé,Highball Glass,"Sugar, Milk, Coffee, ","Sugar - 1-2 tsp , Milk - 1/2 cup , Coffee - 1/2 cup black ,","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",http://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,,,,,,
121,Alcoholic,Foxy Lady,Cocktail glass,"Light Cream, Creme De Cacao, Amaretto, ","Light cream - 2 oz , Creme de Cacao - 1/2 oz , Amaretto - 1/2 oz ,","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",http://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,,,,,,['liqueurs']
122,Alcoholic,French 75,Collins glass,"Maraschino Cherry, Orange, Champagne, Lemon Juice, Sugar, Gin, ","Maraschino cherry - 1 , Orange - 1 , Champagne - 4 oz Chilled , Lemon juice - 1 1/2 oz , Sugar - 2 tsp superfine , Gin - 1 1/2 oz ,","Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg,,,,,"['gin', 'wine']",['liqueurs']
123,Alcoholic,Figgy Thyme,Highball glass,"Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka, ","Tonic Water - Top, Angostura Bitters - 2 dashes, Thyme - 1 Sprig, Figs - 3, Honey - 1 tsp, Vodka - 2 oz,","In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,,,,,['vodka'],
124,Alcoholic,Frisco Sour,Whiskey sour glass,"Lime, Lemon, Lime, Lemon, Benedictine, Blended Whiskey, ","Lime - 1 slice , Lemon - 1 slice , Lime - Juice of 1/2 , Lemon - Juice of 1/4 , Benedictine - 1/2 oz , Blended whiskey - 2 oz ,",Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://cognac.com/wp-content/uploads/2023/11/Frisco-Sour-Cocktail.jpg,,,,,['whiskey'],['liqueurs']
125,Non alcoholic,Fruit Shake,Highball Glass,"Ice, Fruit, Orange Juice, Banana, Yoghurt, ","Ice - 6 , Fruit - 1/2 piece textural , Orange juice - 4 oz frozen , Banana - 1 , Yoghurt - 1 cup fruit ,",Blend til smooth.,http://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,,,,,,
126,Non alcoholic,Fruit Cooler,Highball Glass,"Ice, Soda Water, Apple, Lemon, Sugar, Strawberries, Apple Juice, ","Ice, Soda water - 1 L , Apple - 1 , Lemon - 1 , Sugar - 2 tblsp , Strawberries - 1 cup , Apple juice - 1 can frozen ,","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",http://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,,,,,,
127,Alcoholic,Freddy Kruger,Shot glass,"Vodka, Sambuca, Jägermeister, ","Vodka - 1/2 oz , Sambuca - 1/2 oz , Jägermeister - 1/2 oz ,",make it an ample size shot!!,https://assets.ichkoche.at/image/1/4222.jpg?v=0&twic=v1/cover=365x283,,,,,['vodka'],['liqueurs']
128,Alcoholic,Funk and Soul,Collins glass,"Soda Water, Lemon, Pomegranate Juice, Apricot Nectar, Rum, ","Soda Water - Top, lemon - Juice of 1/2, Pomegranate juice - 1 shot, Apricot Nectar - 1 shot, Rum - 2 shots,",Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,,,,,['rum'],
129,Alcoholic,Fuzzy Asshole,Coffee mug,"Peach Schnapps, Coffee, ","Peach schnapps - 1/2 , Coffee - 1/2 ,",fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,http://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,,,,,,
130,Alcoholic,French Martini,Cocktail glass,"Pineapple Juice, Raspberry Liqueur, Vodka, ","pineapple juice - 1.5 cl, Raspberry Liqueur - 1.5 cl, Vodka - 4.5 cl,",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,http://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,,,,,['vodka'],
131,Alcoholic,French Negroni,Martini Glass,"Orange Peel, Sweet Vermouth, Lillet, Gin, ","Orange Peel - 1, Sweet Vermouth - 1 oz, Lillet - 1 oz, Gin - 1 oz,","Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,,,,,"['gin', 'wine']",['liqueurs']
132,Alcoholic,Fahrenheit 5000,Shot glass,"Tabasco Sauce, Absolut Peppar, Firewater, ","Tabasco sauce - 1 dash , Absolut Peppar - 1/2 oz , Firewater - 1/2 oz ,",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,http://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,,,,,['vodka'],
133,Alcoholic,Flying Dutchman,Old-fashioned glass,"Triple Sec, Gin, ","Triple sec - 1/2 oz , Gin - 2 oz ,","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",http://www.thecocktaildb.com/images/media/drink/akik8t1504519958.jpg,,,,,['gin'],['liqueurs']
134,Alcoholic,Frozen Daiquiri,Champagne flute,"Ice, Cherry, Sugar, Lime Juice, Triple Sec, Light Rum, ","Ice - 1 cup crushed , Cherry - 1 , Sugar - 1 tsp , Lime juice - 1 1/2 oz , Triple sec - 1 tblsp , Light rum - 1 1/2 oz ,","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,,,,,['rum'],['liqueurs']
135,Non alcoholic,Fruit Flip-Flop,Highball Glass,"Fruit Juice, Yoghurt, ","Fruit juice - 1 cup , Yoghurt - 1 cup ,","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",http://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,,,,,,
136,Alcoholic,Flying Scotchman,Cocktail glass,"Sugar Syrup, Bitters, Sweet Vermouth, Scotch, ","Sugar syrup - 1/4 tsp , Bitters - 1 dash , Sweet Vermouth - 1 oz , Scotch - 1 oz ,","Shake all ingredients with ice, strain into a cocktail glass, and serve.",http://www.thecocktaildb.com/images/media/drink/glgrix1504520040.jpg,,,,,"['whiskey', 'wine']",['liqueurs']
137,Alcoholic,French Connection,Old-fashioned glass,"Amaretto, Cognac, ","Amaretto - 3/4 oz , Cognac - 1 1/2 oz ,",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,http://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,,,,,['brandy'],['liqueurs']
138,Alcoholic,Flaming Dr. Pepper,Collins Glass,"Beer, Dr. Pepper, 151 Proof Rum, Vodka, Amaretto,","Beer - 1 oz , Dr. Pepper - 1 oz , 151 proof rum - 1 oz Bacardi , Vodka - 1 oz , Amaretto - 1 oz ,","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer","https://ik.imagekit.io/bhug69xts/tr:h-1200,w-1200/flaming-dr.-pepper.png",,,,,"['beer', 'rum', 'vodka']",['liqueurs']
139,Alcoholic,Flaming Lamborghini,Cocktail glass,"Baileys Irish Cream, Blue Curacao, Sambuca, Kahlua, ","Baileys irish cream - 1 oz , Blue Curacao - 1 oz , Sambuca - 1 oz , Kahlua - 1 oz ,","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,,,,,,['liqueurs']
140,Alcoholic,Flander's Flake-Out,Collins Glass,"Sarsaparilla, Sambuca, ","Sarsaparilla - 3/4 glass , Sambuca - 1/4 glass ,",Bang 'em both in.,http://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,,,,,,['liqueurs']
141,Alcoholic,Frozen Mint Daiquiri,Old-fashioned glass,"Sugar, Mint, Lime Juice, Light Rum, ","Sugar - 1 tsp , Mint - 6 , Lime juice - 1 tblsp , Light rum - 2 oz ,",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,http://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,,,,,['rum'],
142,Alcoholic,Frozen Pineapple Daiquiri,Cocktail Glass,"Sugar, Lime Juice, Pineapple, Light Rum, ","Sugar - 1/2 tsp , Lime juice - 1 tblsp , Pineapple - 4 chunks , Light rum - 1 1/2 oz ,",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,http://www.thecocktaildb.com/images/media/drink/j2mqsb1504736097.jpg,,,,,['rum'],
143,Optional alcohol,GG,Collins Glass,"Ice, Ginger Ale, Galliano, ","Ice, Ginger ale, Galliano - 2 1/2 shots ,",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,https://images.squarespace-cdn.com/content/v1/5ecb37042285c20f8ed86075/1603413833508-SJPDSRJKCZMWFBJUXSKG/_DSC0691.jpg,,,,,"['beer', 'gin']",['liqueurs']
144,Alcoholic,Gimlet,Martini Glass,"Lime, Sugar Syrup, Lime Juice, Gin, ","Lime - 1, Sugar Syrup - 1/2 oz, Lime Juice - 1/2 oz, Gin - 2 1/2 oz,","Add all the ingredients to a shaker and fill with ice.



Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.



Garnish with a lime wheel.",https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,März,615.0,3.0,Spring,['gin'],
145,Alcoholic,Godchild,Champagne flute,"Heavy Cream, Amaretto, Vodka, ","Heavy cream - 1 oz , Amaretto - 1 oz , Vodka - 1 oz ,","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,,,,,['vodka'],['liqueurs']
146,Alcoholic,Gin Fizz,Highball glass,"Carbonated Water, Powdered Sugar, Lemon, Gin, ","Carbonated water, Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Gin - 2 oz ,","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",http://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg,,,,,['gin'],
147,Alcoholic,Gin Sour,Whiskey sour glass,"Maraschino Cherry, Orange, Sugar, Lemon Juice, Gin, ","Maraschino cherry - 1 , Orange - 1 , Sugar - 1/2 tsp superfine , Lemon juice - 1 oz , Gin - 2 oz ,","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.maltwhisky.de/wp-content/uploads/2022/01/gin-sour-pexels-geraud-pfeiffer-6542767.jpg,,,,,['gin'],['liqueurs']
148,Alcoholic,Gagliardo,Cocktail glass,"Sirup Of Roses, Galliano, Lemon Juice, Peach Vodka, ","Sirup of roses - 1 part , Galliano - 1 part , Lemon juice - 3 parts , Peach Vodka - 5 parts ,","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",http://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,,,,,"['vodka', 'wine']",['liqueurs']
149,Alcoholic,Godmother,Old-fashioned glass,"Amaretto, Vodka, ","Amaretto - 3/4 oz , Vodka - 1 1/2 oz ,",Pour vodka and amaretto into an old-fashioned glass over ice and serve.,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,,,,,['vodka'],['liqueurs']
150,Alcoholic,Godfather,Old-fashioned glass,"Amaretto, Scotch, ","Amaretto - 3/4 oz , Scotch - 1 1/2 oz ,",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,,,,,['whiskey'],['liqueurs']
151,Optional alcohol,Gluehwein,Irish coffee cup,"Lemon Peel, Cloves, Cinnamon, Sugar, Water, Red Wine, ","Lemon peel - 1 tblsp , Cloves - 3 , Cinnamon - 1 , Sugar - 60 gr , Water - 125 ml , Red wine - 1 L ,","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",https://www.gutekueche.at/storage/media/recipe/126939/conv/gluehwein-default.jpg,,,,,['wine'],
152,Alcoholic,Gin Tonic,Highball glass,"Ice, Lemon Peel, Tonic Water, Gin, ","Ice - cubes, Lemon Peel - 1 Slice, Tonic Water - 10 cl, Gin - 4 cl,","Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",https://www.thecocktaildb.com/images/media/drink/qcgz0t1643821443.jpg,,,,,['gin'],
153,Alcoholic,Gin Toddy,Old-fashioned glass,"Lemon Peel, Powdered Sugar, Water, Gin, ","Lemon peel - 1 twist of , Powdered sugar - 1/2 tsp , Water - 2 tsp , Gin - 2 oz ,","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,,,,,['gin'],
154,Alcoholic,Gin Smash,Old-fashioned glass,"Cherry, Orange, Mint, Sugar, Carbonated Water, Gin, ","Cherry - 1 , Orange - 1 slice , Mint - 4 , Sugar - 1 cube , Carbonated water - 1 oz , Gin - 2 oz ,","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg,,,,,['gin'],
155,Alcoholic,Gin Daisy,Old-fashioned glass,"Orange, Maraschino Cherry, Grenadine, Sugar, Lemon Juice, Gin, ","Orange - 1 , Maraschino cherry - 1 , Grenadine - 1/2 tsp , Sugar - 1/2 tsp superfine , Lemon juice - 1 oz , Gin - 2 oz ,","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.maltwhisky.de/wp-content/uploads/2022/02/gin-daisy-cocktail.jpg,,,,,['gin'],['liqueurs']
156,Alcoholic,Gin Lemon,Highball glass,"Ice, Lemon Peel, Lemon Juice, Gin, ","Ice - cubes, Lemon Peel - 1 Slice, Lemon Juice - 8 cl, Gin - 6 cl,","For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/6gdohq1681212476.jpg,,,,,['gin'],
157,Alcoholic,Gin Sling,Old-fashioned glass,"Orange Peel, Water, Powdered Sugar, Lemon, Gin, ","Orange peel - Twist of , Water - 1 tsp , Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Gin - 2 oz ,",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,https://www.thespruceeats.com/thmb/nNdLzvU-zbQYgFZ2p8_jE_aifOc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/classic-gin-sling-cocktail-recipe-760084-hero-01-cc170aca7147409cbe83b6782ac08f51.jpg,,,,,['gin'],
158,Alcoholic,Greyhound,Collins glass,"Grapefruit Juice, Vodka, ","Grapefruit Juice - 3 oz, Vodka - 1 1/2 oz,","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,,,,,['vodka'],
159,Alcoholic,Gin Rickey,Highball glass,"Lime, Soda Water, Lemon, Grenadine, Gin, ","Lime - Garnish, Soda Water - Top up with, lemon - Juice of 1/2 , Grenadine - 1 tsp , Gin - 2 oz ,",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,,,,,['gin'],
160,Alcoholic,Gin Squirt,Highball glass,"Carbonated Water, Strawberries, Pineapple, Powdered Sugar, Grenadine, Gin, ","Carbonated water, Strawberries - 2 , Pineapple - 3 chunks, Powdered sugar - 1 tblsp , Grenadine - 1 tsp , Gin - 1 1/2 oz ,","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,,,,,['gin'],
161,Alcoholic,Grand Blue,Old-fashioned glass,"Sweet And Sour, Blue Curacao, Peach Schnapps, Malibu Rum, ","Sweet and sour - 3 cl , Blue Curacao - 1 1/2 cl , Peach schnapps - 1 1/2 cl , Malibu rum - 1 1/2 cl ,",Serve in an old fashioned glass.,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,,,,,"['beer', 'rum']",
162,Alcoholic,Gin Cooler,Collins glass,"Lemon Peel, Orange Spiral, Powdered Sugar, Carbonated Water, Gin, ","Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin - 2 oz ,",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,http://www.thecocktaildb.com/images/media/drink/wsyrvv1478820109.jpg,,,,,['gin'],
163,Alcoholic,Gin Swizzle,Highball glass,"Club Soda, Bitters, Gin, Sugar, Lime Juice, ","Club soda - 3 oz , Bitters - 1 dash , Gin - 2 oz , Sugar - 1 tsp superfine , Lime juice - 1 1/2 oz ,","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,,,,,['gin'],
164,Alcoholic,Grass Skirt,Old-fashioned glass,"Pineapple, Grenadine, Pineapple Juice, Triple Sec, Gin, ","Pineapple - 1 , Grenadine - 1/2 tsp , Pineapple juice - 1 oz , Triple sec - 1 oz , Gin - 1 1/2 oz ,","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",https://www.thedrinkkings.com/wp-content/uploads/2014/07/Grass-Skirt-19-630-630x787.jpg,,,,,['gin'],['liqueurs']
165,Alcoholic,Grasshopper,Cocktail glass,"Light Cream, Creme De Cacao, Green Creme De Menthe, ","Light cream - 3/4 oz , Creme de Cacao - 3/4 oz white , Green Creme de Menthe - 3/4 oz ,",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,"https://images.immediate.co.uk/production/volatile/sites/30/2018/09/grasshopper-cocktail-93b5a27.jpg?resize=768,574",November,627.0,11.0,Autumn,,
166,Alcoholic,Grim Reaper,Old-fashioned glass,"Grenadine, 151 Proof Rum, Kahlua,","Grenadine - 1 dash , 151 proof rum - 1 oz Bacardi , Kahlua - 1 oz ,",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,,,,,['rum'],['liqueurs']
167,Alcoholic,Gin and Soda,Highball glass,"Lime, Soda Water, Gin, ","Lime - 1/4, Soda Water - 5 oz, Gin - 2 oz,","Pour the Gin and Soda water into a highball glass almost filled with ice cubes.

Stir well.

Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/nzlyc81605905755.jpg,,,,,['gin'],
168,Alcoholic,H.D.,Beer mug,"Coffee, Baileys Irish Cream, Whisky, ","Coffee, Baileys irish cream - 8 cl , Whisky - 4 cl ,",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,,,,,['whiskey'],['liqueurs']
169,Alcoholic,Honey Bee,Margarita glass,"Lemon Juice, Honey, White Rum, ","Lemon Juice - 2 cl, Honey - 2 cl, White Rum - 6 cl,","Shake ingredients with crushed ice

",https://drunkardsalmanac.com/wp-content/uploads/2023/05/20230520-Honey-Bee-small.jpg,,,,,['rum'],
170,Alcoholic,Hot Toddy,Irish coffee cup,"Cloves, Lemon, Cinnamon, Honey, Whiskey, ","Cloves - 2, lemon - 1, Cinnamon - 1, Honey - 15 ml, Whiskey - 50 ml,","STEP 1

Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.



STEP 2

Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",https://static01.nyt.com/images/2019/12/04/dining/rp-hot-toddy/rp-hot-toddy-articleLarge.jpg,,,,,['whiskey'],
171,Alcoholic,Herbal flame,Mason jar,"Tea, Hot Damn, ","Tea - very sweet , Hot Damn - 5 shots ,","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,,,,,,
172,Alcoholic,Horse's Neck,Highball glass,"Bitters, Ginger Ale, Brandy, Lemon Peel, ","Bitters - 2 dashes , Ginger ale - 5 oz , Brandy - 2 oz , Lemon peel - 1 long strip ,","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,,,,,"['beer', 'brandy', 'gin']",
173,Alcoholic,Happy Skipper,Highball glass,"Ice, Lime, Ginger Ale, Spiced Rum, ","Ice, Lime, Ginger ale, Spiced rum - 1 1/2 cl ,","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",https://www.acouplecooks.com/wp-content/uploads/2021/03/Rum-and-Ginger-Ale-005.jpg,,,,,"['beer', 'gin', 'rum']",
174,Alcoholic,Hunter's Moon,Balloon Glass,"Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ","Blackberries - 2, Lemonade - 100 ml, Sugar Syrup - 10 ml, Maraschino Cherry - 15 ml, Vermouth - 25 ml,","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg,,,,,['wine'],['liqueurs']
